REF_DATE,GEO,DGUID,Immigrant status,Labour force characteristics,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2006,Canada,2016A000011124,"Immigrants, landed more than 10 years earlier",Not in labour force,15 years and over,Persons,249,thousands,3,v53037508,1.5.7.1,1689.6,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 10 years earlier",Not in labour force,25 to 54 years,Persons,249,thousands,3,v53037509,1.5.7.2,263.4,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 10 years earlier",Unemployment rate,15 years and over,Percentage,242,units ,0,v53037510,1.5.8.1,5.4,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 10 years earlier",Unemployment rate,25 to 54 years,Percentage,242,units ,0,v53037511,1.5.8.2,5.1,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 10 years earlier",Participation rate,15 years and over,Percentage,242,units ,0,v53037512,1.5.9.1,59.2,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 10 years earlier",Participation rate,25 to 54 years,Percentage,242,units ,0,v53037513,1.5.9.2,86.4,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 10 years earlier",Employment rate,15 years and over,Percentage,242,units ,0,v53037514,1.5.10.1,56,,,,1
2006,Canada,2016A000011124,"Immigrants, landed more than 10 years earlier",Employment rate,25 to 54 years,Percentage,242,units ,0,v53037515,1.5.10.2,82,,,,1
2006,Canada,2016A000011124,Born in Canada,Population,15 years and over,Persons,249,thousands,3,v53037516,1.6.1.1,19932.3,,,,1
2006,Canada,2016A000011124,Born in Canada,Population,25 to 54 years,Persons,249,thousands,3,v53037517,1.6.1.2,10764.2,,,,1
2006,Canada,2016A000011124,Born in Canada,Labour force,15 years and over,Persons,249,thousands,3,v53037518,1.6.2.1,13694.2,,,,1
2006,Canada,2016A000011124,Born in Canada,Labour force,25 to 54 years,Persons,249,thousands,3,v53037519,1.6.2.2,9404.8,,,,1
2006,Canada,2016A000011124,Born in Canada,Employment,15 years and over,Persons,249,thousands,3,v53037520,1.6.3.1,12854.5,,,,1
2006,Canada,2016A000011124,Born in Canada,Employment,25 to 54 years,Persons,249,thousands,3,v53037521,1.6.3.2,8940,,,,1
2006,Canada,2016A000011124,Born in Canada,Full-time employment,15 years and over,Persons,249,thousands,3,v53037522,1.6.4.1,10432.7,,,,1
2006,Canada,2016A000011124,Born in Canada,Full-time employment,25 to 54 years,Persons,249,thousands,3,v53037523,1.6.4.2,7892,,,,1
2006,Canada,2016A000011124,Born in Canada,Part-time employment,15 years and over,Persons,249,thousands,3,v53037524,1.6.5.1,2421.8,,,,1
2006,Canada,2016A000011124,Born in Canada,Part-time employment,25 to 54 years,Persons,249,thousands,3,v53037525,1.6.5.2,1048,,,,1
2006,Canada,2016A000011124,Born in Canada,Unemployment,15 years and over,Persons,249,thousands,3,v53037526,1.6.6.1,839.7,,,,1
2006,Canada,2016A000011124,Born in Canada,Unemployment,25 to 54 years,Persons,249,thousands,3,v53037527,1.6.6.2,464.8,,,,1
2006,Canada,2016A000011124,Born in Canada,Not in labour force,15 years and over,Persons,249,thousands,3,v53037528,1.6.7.1,6238.1,,,,1
2006,Canada,2016A000011124,Born in Canada,Not in labour force,25 to 54 years,Persons,249,thousands,3,v53037529,1.6.7.2,1359.4,,,,1
2006,Canada,2016A000011124,Born in Canada,Unemployment rate,15 years and over,Percentage,242,units ,0,v53037530,1.6.8.1,6.1,,,,1
2006,Canada,2016A000011124,Born in Canada,Unemployment rate,25 to 54 years,Percentage,242,units ,0,v53037531,1.6.8.2,4.9,,,,1
2006,Canada,2016A000011124,Born in Canada,Participation rate,15 years and over,Percentage,242,units ,0,v53037532,1.6.9.1,68.7,,,,1
2006,Canada,2016A000011124,Born in Canada,Participation rate,25 to 54 years,Percentage,242,units ,0,v53037533,1.6.9.2,87.4,,,,1
2006,Canada,2016A000011124,Born in Canada,Employment rate,15 years and over,Percentage,242,units ,0,v53037534,1.6.10.1,64.5,,,,1
2006,Canada,2016A000011124,Born in Canada,Employment rate,25 to 54 years,Percentage,242,units ,0,v53037535,1.6.10.2,83.1,,,,1
2006,Atlantic region,2011A00011,Total population,Population,15 years and over,Persons,249,thousands,3,v53037536,2.1.1.1,1908.1,,,,1
2006,Atlantic region,2011A00011,Total population,Population,25 to 54 years,Persons,249,thousands,3,v53037537,2.1.1.2,993.1,,,,1
2006,Atlantic region,2011A00011,Total population,Labour force,15 years and over,Persons,249,thousands,3,v53037538,2.1.2.1,1190.9,,,,1
2006,Atlantic region,2011A00011,Total population,Labour force,25 to 54 years,Persons,249,thousands,3,v53037539,2.1.2.2,831.3,,,,1
2006,Atlantic region,2011A00011,Total population,Employment,15 years and over,Persons,249,thousands,3,v53037540,2.1.3.1,1074,,,,1
2006,Atlantic region,2011A00011,Total population,Employment,25 to 54 years,Persons,249,thousands,3,v53037541,2.1.3.2,759,,,,1
2006,Atlantic region,2011A00011,Total population,Full-time employment,15 years and over,Persons,249,thousands,3,v53037542,2.1.4.1,890.6,,,,1
2006,Atlantic region,2011A00011,Total population,Full-time employment,25 to 54 years,Persons,249,thousands,3,v53037543,2.1.4.2,676.3,,,,1
2006,Atlantic region,2011A00011,Total population,Part-time employment,15 years and over,Persons,249,thousands,3,v53037544,2.1.5.1,183.3,,,,1
2006,Atlantic region,2011A00011,Total population,Part-time employment,25 to 54 years,Persons,249,thousands,3,v53037545,2.1.5.2,82.7,,,,1
2006,Atlantic region,2011A00011,Total population,Unemployment,15 years and over,Persons,249,thousands,3,v53037546,2.1.6.1,116.9,,,,1
2006,Atlantic region,2011A00011,Total population,Unemployment,25 to 54 years,Persons,249,thousands,3,v53037547,2.1.6.2,72.3,,,,1
2006,Atlantic region,2011A00011,Total population,Not in labour force,15 years and over,Persons,249,thousands,3,v53037548,2.1.7.1,717.2,,,,1
2006,Atlantic region,2011A00011,Total population,Not in labour force,25 to 54 years,Persons,249,thousands,3,v53037549,2.1.7.2,161.8,,,,1
2006,Atlantic region,2011A00011,Total population,Unemployment rate,15 years and over,Percentage,242,units ,0,v53037550,2.1.8.1,9.8,,,,1
2006,Atlantic region,2011A00011,Total population,Unemployment rate,25 to 54 years,Percentage,242,units ,0,v53037551,2.1.8.2,8.7,,,,1
2006,Atlantic region,2011A00011,Total population,Participation rate,15 years and over,Percentage,242,units ,0,v53037552,2.1.9.1,62.4,,,,1
2006,Atlantic region,2011A00011,Total population,Participation rate,25 to 54 years,Percentage,242,units ,0,v53037553,2.1.9.2,83.7,,,,1
2006,Atlantic region,2011A00011,Total population,Employment rate,15 years and over,Percentage,242,units ,0,v53037554,2.1.10.1,56.3,,,,1
2006,Atlantic region,2011A00011,Total population,Employment rate,25 to 54 years,Percentage,242,units ,0,v53037555,2.1.10.2,76.4,,,,1
2006,Atlantic region,2011A00011,Landed immigrants,Population,15 years and over,Persons,249,thousands,3,v53037556,2.2.1.1,66,,,,1
2006,Atlantic region,2011A00011,Landed immigrants,Population,25 to 54 years,Persons,249,thousands,3,v53037557,2.2.1.2,31.5,,,,1
2006,Atlantic region,2011A00011,Landed immigrants,Labour force,15 years and over,Persons,249,thousands,3,v53037558,2.2.2.1,38.6,,,,1
2006,Atlantic region,2011A00011,Landed immigrants,Labour force,25 to 54 years,Persons,249,thousands,3,v53037559,2.2.2.2,26.5,,,,1
2006,Atlantic region,2011A00011,Landed immigrants,Employment,15 years and over,Persons,249,thousands,3,v53037560,2.2.3.1,36.4,,,,1
2006,Atlantic region,2011A00011,Landed immigrants,Employment,25 to 54 years,Persons,249,thousands,3,v53037561,2.2.3.2,25.2,,,,1
2006,Atlantic region,2011A00011,Landed immigrants,Full-time employment,15 years and over,Persons,249,thousands,3,v53037562,2.2.4.1,29.4,,,,1
2006,Atlantic region,2011A00011,Landed immigrants,Full-time employment,25 to 54 years,Persons,249,thousands,3,v53037563,2.2.4.2,21.4,,,,1
2006,Atlantic region,2011A00011,Landed immigrants,Part-time employment,15 years and over,Persons,249,thousands,3,v53037564,2.2.5.1,7,,,,1
2006,Atlantic region,2011A00011,Landed immigrants,Part-time employment,25 to 54 years,Persons,249,thousands,3,v53037565,2.2.5.2,3.8,,,,1
2006,Atlantic region,2011A00011,Landed immigrants,Unemployment,15 years and over,Persons,249,thousands,3,v53037566,2.2.6.1,2.1,,,,1
2006,Atlantic region,2011A00011,Landed immigrants,Unemployment,25 to 54 years,Persons,249,thousands,3,v53037567,2.2.6.2,1.3,,,,1
2006,Atlantic region,2011A00011,Landed immigrants,Not in labour force,15 years and over,Persons,249,thousands,3,v53037568,2.2.7.1,27.4,,,,1
2006,Atlantic region,2011A00011,Landed immigrants,Not in labour force,25 to 54 years,Persons,249,thousands,3,v53037569,2.2.7.2,5,,,,1
2006,Atlantic region,2011A00011,Landed immigrants,Unemployment rate,15 years and over,Percentage,242,units ,0,v53037570,2.2.8.1,5.4,,,,1
2006,Atlantic region,2011A00011,Landed immigrants,Unemployment rate,25 to 54 years,Percentage,242,units ,0,v53037571,2.2.8.2,4.9,,,,1
2006,Atlantic region,2011A00011,Landed immigrants,Participation rate,15 years and over,Percentage,242,units ,0,v53037572,2.2.9.1,58.5,,,,1
2006,Atlantic region,2011A00011,Landed immigrants,Participation rate,25 to 54 years,Percentage,242,units ,0,v53037573,2.2.9.2,84.1,,,,1
2006,Atlantic region,2011A00011,Landed immigrants,Employment rate,15 years and over,Percentage,242,units ,0,v53037574,2.2.10.1,55.2,,,,1
